,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
144,6136.0,6148.92,6136.0,6148.92,4.99711017,30677.640593,6139.0762959
145,6233.07,6235.92,6231.87,6232.76,5.42746509,33824.352736,6232.0719111
146,6042.82,6045.56,6031.71,6043.0,42.45069809,256439.62955,6040.8813304
147,6095.52,6096.14,6082.05,6082.05,13.26865936,80768.628257,6087.1732453
148,5872.54,5873.59,5868.67,5870.85,4.68250319,27488.89822,5870.5562185
149,6368.54,6394.07,6368.54,6384.89,27.26997192,174049.91114,6382.4748941
150,6343.51,6352.03,6343.51,6351.63,3.30431522,20987.342752,6351.495349
151,6329.83,6330.77,6326.91,6329.66,3.48367618,22050.147123,6329.5627905
152,6628.87,6636.87,6626.81,6636.87,17.42917926,115555.16868,6629.9833718
153,6471.24,6471.25,6462.11,6462.11,1.02823431,6645.8882738,6463.3986721
154,6621.99,6624.43,6619.56,6624.43,1.21889123,8073.9599149,6624.0200242
155,6525.99,6527.66,6525.99,6525.99,0.08563087,558.82849805,6526.0168213
156,6590.95,6596.2,6590.95,6596.19,0.19813639,1306.7915486,6595.414142
157,6716.22,6720.36,6716.22,6720.36,5.04283103,33883.339817,6719.1106772
158,6711.44,6724.78,6709.99,6711.85,40.24225709,270474.43102,6721.1545918
159,6632.81,6634.43,6632.81,6632.96,0.10438177,692.46816924,6633.9952775
160,6335.95,6343.92,6333.63,6343.92,1.50037393,9509.0976649,6337.8185096
161,6342.22,6343.68,6339.51,6341.97,1.14690396,7275.2433229,6343.3762343
162,6248.2,6252.44,6248.02,6251.27,2.44535208,15284.385815,6250.3824869
163,6203.33,6207.92,6200.03,6204.98,0.72370466,4487.6114522,6200.8878762
164,6248.6,6248.95,6248.6,6248.95,4.04566207,25280.682611,6248.8369451
165,6352.99,6353.2,6345.76,6348.59,4.83882879,30716.222695,6347.8630942
166,6738.86,6743.75,6735.06,6743.75,5.14630064,34685.301189,6739.8513252
167,7459.92,7468.28,7454.18,7463.84,5.04661651,37651.69382,7460.779662
168,7319.58,7325.76,7315.5,7322.75,0.55801015,4083.8401321,7318.5767895
169,7464.99,7465.93,7463.29,7465.93,0.17683405,1320.148042,7465.4629131
170,7276.7,7276.7,7276.7,7276.7,0.19964953,1452.789735,7276.7
171,7415.96,7415.96,7408.48,7414.38,0.13771252,1021.0790662,7414.5696134
